16S_NC_086922.1:1092-2771	Clupeonella abrau
OR805159.1	Centropomus ensiferus
OR805158.1	Centropomus armatus
LC578958.2	Dasyscopelus asper
LC578957.2	Myctophum nitidulum
LC578955.2	Diaphus gigas
LC578954.2	Lampadena yaquinae
LC578953.2	Symbolophorus californiensis
LC811635.1	Symbolophorus californiensis
LC811634.1	Lampanyctus jordani
LC811633.1	Nannobrachium regale
LC811632.1	Lampanyctus acanthurus
LC811631.1	Protomyctophum thompsoni
LC811630.1	Hygophum reinhardtii
LC811629.1	Dasyscopelus asper
PP620801.1	Cottus cognatus
PP620799.1	Anguilla rostrata
PP620795.1	Alosa sapidissima
LC762646.1	Inu koma
PP564847.1	Phalacrocorax fuscicollis
AB773861.1	Pempheris adusta
AB701751.1	Pempheris japonica
AB701750.1	Pempheris japonica
AB701749.1	Pempheris japonica
LC708233.1	Rhina ancylostomus
LC645271.1	Parascombrops serratospinosus
LC806059.1	Hyporhamphus yuri
LC778296.1	Gobiodon rivulatus
LC778295.1	Gobiodon quinquestrigatus
LC778294.1	Gobiodon quinquestrigatus
LC778293.1	Gobiodon quinquestrigatus
LC778292.1	Gobiodon quinquestrigatus
LC778291.1	Gobiodon quinquestrigatus
LC778290.1	Gobiodon quinquestrigatus
LC778289.1	Gobiodon quinquestrigatus
LC778288.1	Gobiodon spadix
LC778287.1	Gobiodon spadix
LC778286.1	Gobiodon spadix
LC805237.1	Polyipnus matsubarai
LC805236.1	Desmodema polystictum
PP481391.1	Stolephorus commersonnii
LC720447.1	Inu ama
LC496248.2	Inu ama
LC804449.1	Pollichthys mauli
LC804448.1	Scopeloberyx rossicus
LC804447.1	Aldrovandia affinis
LC145979.2	Protomyctophum crockeri
LC801340.1	Bassozetus zenkevitchi
LC801339.1	Omobranchus elegans
LC749804.1	Hoplunnis tenuis
OR661208.1	Polymixia carmenae
OR661207.1	Polymixia carmenae
OR661206.1	Polymixia carmenae
OR661205.1	Polymixia carmenae
AF215238.1	Grandidierina lineata
AF215237.1	Grandidierina fierinensis
AF215235.1	Pygomeles braconnieri
AF215234.1	Chalcides ocellatus
AF153586.1	Scelotes mirus
AF153585.1	Trachylepis variegata
AF153584.1	Trachylepis varia
AF153583.1	Trachylepis sulcata
AF153582.1	Trachylepis wahlbergii
AF153581.1	Trachylepis striata
AF153580.1	Trachylepis spilogaster
AF153579.1	Trachylepis quinquetaeniata
AF153578.1	Trachylepis perrotetii
AF153577.1	Trachylepis occidentalis
AF153576.1	Eutropis multifasciata
AF153575.1	Trachylepis margaritifera
AF153574.1	Trachylepis maculilabris
AF153573.1	Eutropis macularia
AF153572.1	Eutropis longicaudata
AF153571.1	Trachylepis irregularis
AF153570.1	Trachylepis homalocephala
AF153569.1	Trachylepis hoeschi
AF153568.1	Trachylepis elegans
AF153567.1	Trachylepis elegans
AF153565.1	Trachylepis comorensis
AF153564.1	Trachylepis capensis
AF153563.1	Varzea bistriata
AF153562.1	Trachylepis binotata
AF153561.1	Trachylepis affinis
AF153560.1	Trachylepis acutilabris
OP837792.1	Suruga fundicola
OP837791.1	Suruga fundicola
OP837790.1	Suruga fundicola
OP837789.1	Suruga fundicola
OP837788.1	Amblychaeturichthys hexanema
OP837787.1	Amblychaeturichthys hexanema
OP837786.1	Amblychaeturichthys hexanema
LC797026.1	Scopelarchus michaelsarsi
MZ285433.1	Trachylepis elegans
MZ285432.1	Trachylepis boettgeri
MH063321.1	Trachylepis gravenhorstii
KU511992.1	Flexiseps tsaratananensis
KU511991.1	Flexiseps johannae
KT828567.1	Paracontias mahamavo
KT828566.1	Paracontias mahamavo
KT828565.1	Paracontias ampijoroensis
KT828564.1	Paracontias ampijoroensis
KT828563.1	Paracontias vermisaurus
KR025912.1	Trachylepis dumasi
KR025911.1	Madascincus polleni
KM057146.1	Flexiseps ornaticeps
KM057145.1	Flexiseps ardouini
KM057144.1	Voeltzkowia yamagishii
KM057143.1	Voeltzkowia mobydick
KM057142.1	Voeltzkowia mira
KM057141.1	Grandidierina rubrocaudata
KM057140.1	Grandidierina rubrocaudata
KM057139.1	Grandidierina rubrocaudata
KM057138.1	Grandidierina rubrocaudata
KM057137.1	Grandidierina rubrocaudata
KM057136.1	Grandidierina rubrocaudata
KM057135.1	Grandidierina rubrocaudata
KM057134.1	Grandidierina rubrocaudata
KM057133.1	Grandidierina rubrocaudata
KM057132.1	Grandidierina petiti
KM057131.1	Grandidierina petiti
KM057130.1	Grandidierina petiti
KM057129.1	Grandidierina lineata
KM057128.1	Grandidierina lineata
KM057127.1	Grandidierina lineata
KM057126.1	Grandidierina lineata
KM057125.1	Grandidierina lineata
KM057124.1	Grandidierina lineata
KM057123.1	Grandidierina lineata
KM057122.1	Grandidierina lineata
KM057121.1	Grandidierina fierinensis
KM057120.1	Grandidierina fierinensis
KM057119.1	Grandidierina fierinensis
KM057118.1	Grandidierina fierinensis
KM057117.1	Grandidierina fierinensis
KM057116.1	Grandidierina fierinensis
KM057115.1	Grandidierina fierinensis
KM057114.1	Grandidierina fierinensis
KM057113.1	Grandidierina fierinensis
KM057112.1	Grandidierina fierinensis
KM057111.1	Pygomeles petteri
KC345439.1	Trachylepis tavaratra
KC345438.1	Trachylepis tavaratra
KC345437.1	Trachylepis vezo
KC345436.1	Trachylepis vezo
KC345435.1	Trachylepis vato
KC345434.1	Trachylepis dumasi
KC345433.1	Trachylepis dumasi
KC345432.1	Trachylepis vato
KC345431.1	Trachylepis dumasi
KC345430.1	Trachylepis dumasi
KC345429.1	Trachylepis dumasi
KC345428.1	Trachylepis aureopunctata
KC345427.1	Trachylepis gravenhorstii
KC345426.1	Trachylepis gravenhorstii
KC345425.1	Trachylepis gravenhorstii
KC345424.1	Trachylepis dumasi
KC345423.1	Eutropis macularia
KC345422.1	Trachylepis sechellensis
KC345421.1	Trachylepis sechellensis
KC345420.1	Trachylepis varia
KC345419.1	Trachylepis striata
KC345418.1	Trachylepis boettgeri
KC345417.1	Trachylepis maculilabris
KC345416.1	Trachylepis wrightii
KC345415.1	Trachylepis comorensis
KC345414.1	Trachylepis comorensis
KC345413.1	Trachylepis comorensis
KC345412.1	Trachylepis wahlbergii
KC345411.1	Trachylepis capensis
KC345410.1	Trachylepis varia
KC345409.1	Trachylepis wahlbergii
KC345408.1	Trachylepis boettgeri
KC345407.1	Trachylepis hoeschi
KC345406.1	Trachylepis wahlbergii
KC345405.1	Trachylepis binotata
KC345403.1	Trachylepis sulcata
KC345402.1	Trachylepis sulcata
KC345401.1	Trachylepis acutilabris
KC345400.1	Trachylepis acutilabris
KC345399.1	Trachylepis gravenhorstii
KC345398.1	Trachylepis madagascariensis
KC345397.1	Trachylepis elegans
KC345396.1	Trachylepis gravenhorstii
KC345395.1	Trachylepis comorensis
KC345394.1	Trachylepis vato
KC345393.1	Trachylepis madagascariensis
KC345392.1	Trachylepis boettgeri
KC345391.1	Trachylepis gravenhorstii
KC345390.1	Trachylepis elegans
KC345389.1	Trachylepis gravenhorstii
KC345388.1	Trachylepis elegans
KC345387.1	Trachylepis nancycoutuae
KC345386.1	Trachylepis aureopunctata
KC345385.1	Trachylepis aureopunctata
KC345384.1	Trachylepis elegans
KC345383.1	Trachylepis gravenhorstii
KC345382.1	Trachylepis aureopunctata
KC345381.1	Trachylepis tandrefana
KC345380.1	Trachylepis tandrefana
KC345379.1	Trachylepis tandrefana
KC345378.1	Trachylepis aureopunctata
JQ008055.1	Madascincus igneocaudatus
JQ008054.1	Madascincus stumpffi
JQ008053.1	Madascincus stumpffi
JQ008052.1	Madascincus stumpffi
JQ008051.1	Madascincus stumpffi
JQ008050.1	Madascincus stumpffi
JQ008049.1	Madascincus stumpffi
JQ008048.1	Madascincus stumpffi
JQ008047.1	Madascincus stumpffi
JQ008046.1	Madascincus stumpffi
JQ008045.1	Madascincus stumpffi
JQ008044.1	Madascincus stumpffi
JQ008043.1	Madascincus stumpffi
JQ008042.1	Madascincus stumpffi
JQ008041.1	Madascincus stumpffi
JQ008040.1	Madascincus stumpffi
JQ008039.1	Madascincus stumpffi
JQ008038.1	Madascincus stumpffi
JQ008037.1	Madascincus stumpffi
JQ008036.1	Madascincus stumpffi
JQ008035.1	Madascincus stumpffi
JQ008034.1	Madascincus stumpffi
JQ008033.1	Madascincus miafina
JQ008032.1	Madascincus miafina
JQ008031.1	Madascincus miafina
JQ008030.1	Madascincus miafina
JQ008029.1	Madascincus miafina
JQ008028.1	Madascincus miafina
JQ008027.1	Madascincus miafina
JQ008026.1	Madascincus miafina
JQ008025.1	Madascincus miafina
JQ008024.1	Madascincus miafina
JQ008023.1	Madascincus miafina
JQ008022.1	Madascincus miafina
JQ008021.1	Madascincus miafina
JQ008020.1	Madascincus miafina
JQ008019.1	Madascincus miafina
JQ008018.1	Madascincus miafina
JQ008017.1	Madascincus miafina
JQ008016.1	Madascincus miafina
JQ008015.1	Madascincus miafina
JQ008014.1	Madascincus miafina
JQ008013.1	Madascincus polleni
JQ008012.1	Madascincus polleni
JQ008011.1	Madascincus polleni
JQ008010.1	Madascincus polleni
JQ008009.1	Madascincus miafina
JQ008008.1	Madascincus miafina
JQ008007.1	Madascincus miafina
JQ008006.1	Madascincus polleni
JQ008005.1	Madascincus polleni
JQ008004.1	Madascincus melanopleura
JQ008003.1	Madascincus melanopleura
JQ008002.1	Madascincus melanopleura
JQ008001.1	Madascincus minutus
JQ008000.1	Madascincus minutus
JQ007999.1	Madascincus melanopleura
JQ007998.1	Madascincus melanopleura
JQ007997.1	Madascincus ankodabensis
JQ007996.1	Madascincus ankodabensis
JQ007995.1	Madascincus ankodabensis
JQ007994.1	Madascincus ankodabensis
JQ007993.1	Madascincus ankodabensis
JQ007992.1	Madascincus ankodabensis
JQ007991.1	Madascincus ankodabensis
JQ007990.1	Madascincus ankodabensis
JQ007989.1	Madascincus mouroundavae
JQ007988.1	Madascincus mouroundavae
JQ007987.1	Madascincus mouroundavae
JQ007986.1	Madascincus mouroundavae
JQ007985.1	Madascincus mouroundavae
JQ007984.1	Madascincus mouroundavae
JQ007983.1	Madascincus minutus
JQ007982.1	Madascincus minutus
JQ007981.1	Madascincus minutus
JQ007980.1	Madascincus minutus
JQ007979.1	Madascincus minutus
JQ007978.1	Madascincus minutus
JQ007977.1	Madascincus minutus
JQ007976.1	Madascincus minutus
JQ007975.1	Madascincus minutus
JQ007974.1	Madascincus minutus
JQ007973.1	Madascincus minutus
JQ007972.1	Madascincus minutus
JQ007971.1	Madascincus minutus
JQ007970.1	Madascincus melanopleura
JQ007969.1	Madascincus ankodabensis
JQ007968.1	Madascincus ankodabensis
JQ007967.1	Madascincus ankodabensis
JQ007966.1	Madascincus ankodabensis
JQ007965.1	Madascincus ankodabensis
JQ007964.1	Madascincus melanopleura
JQ007963.1	Madascincus melanopleura
JQ007962.1	Madascincus minutus
JQ007961.1	Madascincus minutus
JQ007960.1	Madascincus minutus
JQ007959.1	Madascincus ankodabensis
JQ007958.1	Madascincus melanopleura
JQ007957.1	Madascincus melanopleura
JQ007956.1	Madascincus melanopleura
JQ007955.1	Madascincus melanopleura
JQ007954.1	Madascincus melanopleura
JQ007953.1	Madascincus melanopleura
JQ007952.1	Madascincus melanopleura
JQ007951.1	Madascincus melanopleura
JQ007950.1	Madascincus melanopleura
JQ007949.1	Madascincus melanopleura
JQ007948.1	Madascincus melanopleura
JQ007947.1	Madascincus melanopleura
JQ007946.1	Madascincus melanopleura
JQ007945.1	Madascincus melanopleura
JQ007944.1	Madascincus melanopleura
JQ007943.1	Madascincus melanopleura
JQ007942.1	Madascincus melanopleura
JQ007941.1	Madascincus melanopleura
JQ007940.1	Madascincus melanopleura
JQ007939.1	Madascincus melanopleura
JQ007938.1	Madascincus melanopleura
JQ007937.1	Madascincus melanopleura
JQ007936.1	Madascincus melanopleura
JQ007935.1	Madascincus melanopleura
JQ007934.1	Madascincus melanopleura
JQ007933.1	Madascincus melanopleura
JQ007932.1	Madascincus melanopleura
JQ007931.1	Madascincus melanopleura
JQ007930.1	Madascincus melanopleura
JQ007929.1	Madascincus melanopleura
JQ007928.1	Madascincus melanopleura
JQ007927.1	Madascincus melanopleura
JQ007926.1	Madascincus minutus
JQ007925.1	Madascincus melanopleura
JQ007924.1	Madascincus ankodabensis
JQ007923.1	Madascincus ankodabensis
JQ007922.1	Madascincus igneocaudatus
JQ007921.1	Madascincus igneocaudatus
JQ007920.1	Madascincus igneocaudatus
JQ007919.1	Madascincus igneocaudatus
JQ007918.1	Madascincus pyrurus
JQ007917.1	Madascincus pyrurus
JQ007916.1	Madascincus pyrurus
JQ007912.1	Madascincus arenicola
JQ007911.1	Madascincus arenicola
JQ007910.1	Madascincus arenicola
JQ007909.1	Madascincus arenicola
JQ007908.1	Madascincus arenicola
JQ007907.1	Madascincus arenicola
JQ007906.1	Madascincus arenicola
JQ007905.1	Madascincus arenicola
JQ007904.1	Madascincus arenicola
JQ007903.1	Madascincus arenicola
JF424684.1	Amphiglossus astrolabi
JF424683.1	Amphiglossus astrolabi
JF424682.1	Amphiglossus astrolabi
JF424681.1	Amphiglossus reticulatus
JF424680.1	Amphiglossus reticulatus
JF424679.1	Flexiseps meva
JF424678.1	Flexiseps meva
JF424677.1	Flexiseps meva
HQ891855.1	Paracontias vermisaurus
GU048759.1	Paracontias rothschildi
GU048758.1	Paracontias rothschildi
GU048757.1	Paracontias rothschildi
GU048756.1	Paracontias rothschildi
GU048755.1	Paracontias rothschildi
GU048754.1	Paracontias rothschildi
GU048753.1	Paracontias rothschildi
GU048752.1	Paracontias rothschildi
GU048751.1	Paracontias minimus
GU048750.1	Paracontias minimus
GU048749.1	Paracontias minimus
GU048748.1	Paracontias minimus
FJ667633.1	Paracontias hildebrandti
FJ667632.1	Paracontias fasika
FJ667630.1	Paracontias rothschildi
FJ667629.1	Madascincus pyrurus
FJ667628.1	Paracontias minimus
FJ667627.1	Flexiseps mandokava
FJ667626.1	Flexiseps melanurus
FJ667625.1	Brachyseps macrocercus
FJ667624.1	Brachyseps punctatus
FJ667623.1	Flexiseps mandokava
FJ667622.1	Brachyseps frontoparietalis
FJ667621.1	Brachyseps anosyensis
EF210710.1	Trachylepis elegans
EF210709.1	Trachylepis elegans
EF210708.1	Trachylepis elegans
EF210707.1	Trachylepis elegans
EF210706.1	Trachylepis elegans
EF210705.1	Trachylepis elegans
EF210704.1	Trachylepis elegans
EF210703.1	Trachylepis elegans
EF210702.1	Trachylepis elegans
EF210701.1	Trachylepis elegans
EF210700.1	Trachylepis elegans
EF210699.1	Trachylepis elegans
EF210698.1	Trachylepis elegans
EF210696.1	Trachylepis madagascariensis
EF210695.1	Trachylepis madagascariensis
EF210694.1	Trachylepis madagascariensis
EF210693.1	Trachylepis gravenhorstii
EF210692.1	Trachylepis gravenhorstii
EF210691.1	Trachylepis gravenhorstii
EF210690.1	Trachylepis gravenhorstii
EF210689.1	Trachylepis gravenhorstii
EF210688.1	Trachylepis gravenhorstii
EF210687.1	Trachylepis gravenhorstii
EF210686.1	Trachylepis gravenhorstii
EF210685.1	Trachylepis gravenhorstii
EF210684.1	Trachylepis gravenhorstii
EF210683.1	Trachylepis gravenhorstii
EF210682.1	Trachylepis gravenhorstii
EF210681.1	Trachylepis gravenhorstii
EF210680.1	Trachylepis gravenhorstii
EF210679.1	Trachylepis gravenhorstii
EF210678.1	Trachylepis gravenhorstii
EF210677.1	Trachylepis gravenhorstii
EF210676.1	Trachylepis gravenhorstii
EF210675.1	Trachylepis gravenhorstii
EF210674.1	Trachylepis gravenhorstii
